iter	RMSE
179	0.3056429371
180	0.3053212839
181	0.3051056129
182	0.3050551299
183	0.3048330236
184	0.3046186272
185	0.3041142141
186	0.3039019273
187	0.303507968
188	0.3033585961
189	0.3030274206
190	0.3029783153
191	0.3027625531
192	0.3024341915
193	0.3022516466
194	0.3021077984
195	0.3015943978
196	0.3013450677
197	0.3008526753
198	0.3004751146
199	0.3002877108
200	0.3000788639
201	0.299870889
202	0.2996066109
203	0.2995129078
204	0.2992286805
205	0.2990348051
206	0.2988589578
207	0.2986948627
208	0.2986504338
209	0.2983199047
210	0.2981295757
211	0.2980143379
212	0.2976780974
213	0.2976223841
214	0.2975692551
215	0.2971994993
216	0.297125093
217	0.2968430851
218	0.2966300651
219	0.2962591981
220	0.2959740199
221	0.2958016174
222	0.2957297268
223	0.2952857649
224	0.2951345476
225	0.2950300096
226	0.2946138314
227	0.2943805656
228	0.2943200462
229	0.2942105212
230	0.2938853188
231	0.2936965194
232	0.2934961185
233	0.2933665177
234	0.2932272454
235	0.29314194
236	0.2929265341
237	0.2928472073
238	0.2923789957
239	0.2922345685
240	0.292076095
241	0.2920294563
242	0.2916824913
243	0.2913957087
244	0.291037042
245	0.2908545531
246	0.2906817134
247	0.2905198538
248	0.2903501023
249	0.2900701637
250	0.2898472064
251	0.2897662755
252	0.2896842816
253	0.2895254194
254	0.2891710412
255	0.2888560123
256	0.2885681512
257	0.288406537
258	0.2882072448
259	0.2880957144
260	0.2880102432
261	0.2878254585
262	0.2877917841
263	0.2877434298
264	0.2876775152
265	0.2873653041
266	0.2871413322
267	0.2870553226
268	0.2869021375
269	0.2866579289
270	0.2863518712
271	0.2860055217
272	0.28583881
273	0.2855283462
274	0.2854758281
275	0.2852195707
276	0.2849632737
277	0.284859657
278	0.2845939832
279	0.2844667068
280	0.2843947058
281	0.284264012
282	0.2841108292
283	0.2838330716
284	0.2838204777
285	0.2836840676
286	0.2836606956
287	0.2835904251
288	0.2835011628
289	0.2832575765
290	0.2831967423
291	0.282807565
292	0.2827728174
293	0.2826662673
294	0.282582294
295	0.2824661285
296	0.2823936486
297	0.2823488148
298	0.2821522798
299	0.2819536603
300	0.2818482801
301	0.281720386
302	0.2815515799
303	0.2813631801
304	0.2813083221
305	0.2810877081
306	0.2809754747
307	0.280790119
308	0.2806655781
309	0.2804221573
310	0.2803403628
311	0.2802475509
312	0.280236434
313	0.280062709
314	0.2799727628
315	0.2798587092
316	0.2798216828
317	0.2798105014
318	0.2796752045
319	0.2796729185
320	0.2795804509
321	0.2795047688
322	0.2794320794
323	0.2792138452
324	0.2791304077
325	0.2789846195
326	0.2789423254
327	0.2788548764
328	0.2786387994
329	0.2783392891
330	0.2782607823
331	0.2780664539
332	0.2780216988
333	0.2779000075
334	0.2778381895
335	0.2775841233
336	0.2773756249
337	0.2773476773
338	0.2771760776
339	0.2770718191
340	0.2768943697
341	0.276740162
342	0.2767099634
343	0.2766798694
344	0.276629194
345	0.2765276751
346	0.2764320156
347	0.2762571622
348	0.2761220728
349	0.2760997863
350	0.2759354412
351	0.275911027
352	0.275705191
353	0.2756639514
354	0.2755680879
355	0.2753630141
356	0.2753040941
357	0.2752929484
358	0.2751590628
359	0.2750272413
360	0.2748686723
361	0.2746490428
362	0.2745074209
363	0.2743829136
364	0.274332095
365	0.2742933098
366	0.2742609578
367	0.2741735265
368	0.2740650817
369	0.274050445
370	0.2740280448
371	0.273986363
372	0.273880991
373	0.2738330457
374	0.2738045079
375	0.2737644054
376	0.2735807207
377	0.2734922739
378	0.2734771889
379	0.273440319
380	0.2733754384
381	0.2733512249
382	0.273331684
383	0.2732927799
384	0.2731829293
385	0.2731649588
386	0.2731096867
387	0.2729173724
388	0.2728998481
389	0.2728666158
390	0.2726125709
391	0.2725452769
392	0.2724915121
393	0.2723095847
394	0.2722870612
395	0.2721019495
396	0.2718925753
397	0.2718344589
398	0.2717289961
399	0.2717178638
400	0.271609438
401	0.2714493944
402	0.2713913248
403	0.2712221044
404	0.2711286018
405	0.2709867396
406	0.2709298118
407	0.2707567586
408	0.2706662231
409	0.270580329
410	0.2704082109
411	0.2702135739
412	0.2699705762
413	0.2699133816
414	0.2698056494
415	0.2697289971
416	0.2696945724
417	0.2696487426
418	0.2695278134
419	0.2694854246
420	0.2694728444
421	0.2692608543
422	0.2692091945
423	0.2691182743
424	0.2690960747
425	0.2688770778
426	0.2688374906
427	0.2688156982
428	0.2687295751
429	0.2686992921
430	0.2685947817
431	0.2683109778
432	0.2680528577
433	0.267859169
434	0.2678091106
435	0.2677305765
436	0.2676872596
437	0.2676906638
438	0.2675470551
439	0.2675520924
440	0.2674911866
441	0.2674196779
442	0.267373564
443	0.2672930779
444	0.2672323003
445	0.2671736028
446	0.2671609693
447	0.2669069388
448	0.2668634197
449	0.2667280677
450	0.2667240912
451	0.2666484196
452	0.2666383859
453	0.2665998817
454	0.2665448918
455	0.2664934636
456	0.2663337385
457	0.2662918923
458	0.2662172524
459	0.2661039171
460	0.2658885747
461	0.2657597933
462	0.2655571083
463	0.2655219132
464	0.2654901432
465	0.2654260367
466	0.2652146566
467	0.2651527146
468	0.2650848603
469	0.2650618936
470	0.2650314364
471	0.2649748971
472	0.264834275
473	0.2648366215
474	0.2647568361
475	0.2647510825
476	0.2646563426
477	0.2646073081
478	0.2644090606
479	0.2642759442
480	0.2641656953
481	0.2640927435
482	0.2639477176
483	0.263780979
484	0.2637123036
485	0.2637104439
486	0.2637024357
487	0.2636440862
488	0.263602689
489	0.2635449813
490	0.2634506109
491	0.263339578
492	0.2633327193
493	0.2631334828
494	0.2631207973
495	0.2630792576
496	0.2630196213
497	0.2629197192
498	0.2628236884
499	0.2627769362
500	0.2627473241
501	0.2627220549
502	0.2625561092
503	0.2624290906
504	0.2624083383
505	0.2622077183
506	0.2621710181
507	0.2621480362
508	0.2621266482
509	0.2619504844
510	0.2617787859
511	0.2617169813
512	0.2616888657
513	0.2614719773
514	0.2613896435
515	0.2613715335
516	0.261360447
517	0.2612829247
518	0.2611929632
